GEOID,name,population,median_household_income,renter_occupied_pct,mean_travel_time_to_work_minutes,land_area_sqmi,pop_density_per_sqmi
34001,"Atlantic County, New Jersey",274339,106640,72378,21.7,555.578,493.7902508738647
34003,"Bergen County, New Jersey",953243,350843,228445,23.5,232.788,4094.8975033077304
34005,"Burlington County, New Jersey",461853,174454,132314,16.5,799.285,577.8326879648686
34007,"Camden County, New Jersey",522581,198757,130036,22.1,221.362,2360.7529747653166
34009,"Cape May County, New Jersey",95456,43277,33950,20.4,251.521,379.5150305541088
34011,"Cumberland County, New Jersey",153588,52584,34720,19.8,483.38,317.73759774918284
34013,"Essex County, New Jersey",853374,312942,139811,32.4,126.083,6768.351006876423
34015,"Gloucester County, New Jersey",302621,109996,87641,13.3,322.008,939.7934212814589
34017,"Hudson County, New Jersey",712029,290054,93531,43.9,46.194,15413.884920119495
34019,"Hunterdon County, New Jersey",129099,49676,41967,12.7,427.835,301.7495062348803
34021,"Mercer County, New Jersey",383732,139549,87635,22.6,224.478,1709.4414597421573
34023,"Middlesex County, New Jersey",860147,301967,192805,21.9,309.247,2781.423910337044
34025,"Monmouth County, New Jersey",643064,248117,187471,16.1,468.182,1373.5342238702042
34027,"Morris County, New Jersey",508816,189607,140016,16.4,461.025,1103.6624911881136
34029,"Ocean County, New Jersey",638691,239466,191328,16.6,628.29,1016.5544573365803
34031,"Passaic County, New Jersey",519986,177209,92827,25.5,186.133,2793.626063083924
34033,"Salem County, New Jersey",64840,24744,17474,15.8,331.861,195.383006740774
34035,"Somerset County, New Jersey",344978,127566,96103,17.4,301.867,1142.8145507789854
34037,"Sussex County, New Jersey",144808,56348,47761,12.3,518.488,279.28900958170675
34039,"Union County, New Jersey",572079,199996,115331,23.6,102.766,5566.811980616157
34041,"Warren County, New Jersey",109739,44370,32287,15.9,356.541,307.7878841423567
