State,stations,level1_ports,level2_ports,dcfc_ports,last_confirmed_max
AL,2,0.0,2.0,1.0,2022-10-11
AR,2,0.0,10.0,0.0,2022-08-10
AZ,11,0.0,25.0,0.0,2022-11-10
CA,30,0.0,400.0,21.0,2022-12-13
CO,5,0.0,14.0,0.0,2022-11-10
CT,18,0.0,50.0,0.0,2022-10-11
DC,13,0.0,80.0,0.0,2022-11-10
DE,2,0.0,3.0,0.0,2022-11-10
FL,13,2.0,47.0,0.0,2022-11-10
GA,4,0.0,9.0,0.0,2022-10-11
IA,2,0.0,4.0,0.0,2022-10-11
IL,4,0.0,10.0,0.0,2022-10-11
IN,9,0.0,14.0,0.0,2022-12-13
KY,1,0.0,2.0,0.0,2022-11-10
LA,1,0.0,4.0,0.0,2022-10-11
MA,66,0.0,370.0,1.0,2022-11-10
MD,7,0.0,41.0,0.0,2022-11-10
ME,1,0.0,2.0,0.0,2022-10-11
MI,18,0.0,55.0,7.0,2022-10-11
MN,2,0.0,3.0,0.0,2022-10-11
MO,4,0.0,11.0,0.0,2022-12-13
MS,2,0.0,4.0,0.0,2022-08-10
NC,9,0.0,19.0,0.0,2022-12-13
NH,4,1.0,8.0,0.0,2022-12-13
NJ,12,0.0,48.0,0.0,2022-10-11
NM,1,1.0,0.0,0.0,2022-08-10
NY,28,0.0,124.0,0.0,2022-11-10
OH,14,0.0,29.0,0.0,2022-11-10
OK,1,0.0,1.0,0.0,2022-03-07
OR,1,0.0,2.0,1.0,2022-06-14
PA,9,0.0,22.0,0.0,2022-11-10
RI,7,0.0,45.0,0.0,2022-11-10
SC,10,1.0,12.0,3.0,2022-09-14
TN,1,0.0,2.0,0.0,2022-10-11
TX,10,0.0,28.0,0.0,2022-11-10
VA,5,2.0,11.0,0.0,2022-10-11
VT,11,2.0,26.0,0.0,2022-10-11
WA,26,0.0,77.0,2.0,2022-11-10
WI,7,0.0,11.0,0.0,2022-10-11
WV,1,1.0,0.0,0.0,2022-02-10
