State,state_name,population,median_household_income,renter_occupied_pct,mean_travel_time_to_work_minutes,stations,level1_ports,level2_ports,dcfc_ports,chargers_per_100k
AL,Alabama,5028092,1933150,1347792,17.9,2,0.0,2.0,1.0,0.0397765196022666
AR,Arkansas,3018669,1171694,775956,19.6,2,0.0,10.0,0.0,0.066254365748613
AZ,Arizona,7172282,2739136,1815352,20.4,11,0.0,25.0,0.0,0.1533682027561102
CA,California,39356104,13315822,7407361,18.2,30,0.0,400.0,21.0,0.0762270574343436
CO,Colorado,5770790,2278044,1507547,18.2,5,0.0,14.0,0.0,0.0866432498843312
CT,Connecticut,3611317,1409807,932588,20.3,18,0.0,50.0,0.0,0.4984331201054906
DC,District of Columbia,670587,315785,130865,46.5,13,0.0,80.0,0.0,1.938600062333448
DE,Delaware,993635,389000,279923,19.9,2,0.0,3.0,0.0,0.2012811545487025
FL,Florida,21634529,8353441,5585924,22.6,13,2.0,47.0,0.0,0.0600891288181036
GA,Georgia,10722325,3946490,2565877,20.3,4,0.0,9.0,0.0,0.0373053418918005
IA,Iowa,3188836,1290139,922684,16.8,2,0.0,4.0,0.0,0.0627188102492571
IL,Illinois,12757634,4968761,3312809,23.2,4,0.0,10.0,0.0,0.031353776099863
IN,Indiana,6784403,2653596,1860566,18.7,9,0.0,14.0,0.0,0.132657213906662
KY,Kentucky,4502935,1769102,1205067,18.9,1,0.0,2.0,0.0,0.0222077378420963
LA,Louisiana,4640546,1765264,1185633,23.6,1,0.0,4.0,0.0,0.0215491883929175
MA,Massachusetts,6984205,2740995,1711341,24.1,66,0.0,370.0,1.0,0.9449894440383694
MD,Maryland,6161707,2318124,1564056,21.0,7,0.0,41.0,0.0,0.1136048825431004
ME,Maine,1366949,580172,426239,18.6,1,0.0,2.0,0.0,0.0731556188270374
MI,Michigan,10057921,4009253,2906470,19.9,18,0.0,55.0,7.0,0.1789634259406093
MN,Minnesota,5695292,2256126,1631701,17.3,2,0.0,3.0,0.0,0.0351167244805007
MO,Missouri,6154422,2458324,1661854,19.5,4,0.0,11.0,0.0,0.0649939181941049
MS,Mississippi,2958846,1121269,775465,19.2,2,0.0,4.0,0.0,0.0675939200620782
NC,North Carolina,10470214,4105232,2717961,19.4,9,0.0,19.0,0.0,0.0859581284585014
NH,New Hampshire,1379610,545116,393945,15.8,4,1.0,8.0,0.0,0.2899370111843202
NJ,New Jersey,9249063,3438162,2195831,22.9,12,0.0,48.0,0.0,0.1297428723320405
NM,New Mexico,2112463,812852,558179,19.8,1,1.0,0.0,0.0,0.0473381072236531
NY,New York,19994379,7604523,4128119,26.3,28,0.0,124.0,0.0,0.1400393580615832
OH,Ohio,11774683,4789408,3200314,19.5,14,0.0,29.0,0.0,0.1188991669669578
OK,Oklahoma,3970497,1522711,1004078,19.8,1,0.0,1.0,0.0,0.0251857638980711
OR,Oregon,4229374,1680800,1062522,20.0,1,0.0,2.0,1.0,0.0236441610507843
PA,Pennsylvania,12989208,5193727,3593490,21.7,9,0.0,22.0,0.0,0.0692882891705175
RI,Rhode Island,1094250,432219,270950,21.2,7,0.0,45.0,0.0,0.6397075622572538
SC,South Carolina,5142750,2023085,1434662,19.7,10,1.0,12.0,3.0,0.1944484954547664
TN,Tennessee,6923772,2713635,1819725,18.0,1,0.0,2.0,0.0,0.0144429943678099
TX,Texas,29243342,10490553,6545727,20.1,10,0.0,28.0,0.0,0.0341958179745666
VA,Virginia,8624511,3289776,2199299,18.9,5,2.0,11.0,0.0,0.0579743013835798
VT,Vermont,643816,265858,193222,20.2,11,2.0,26.0,0.0,1.7085626949314712
WA,Washington,7688549,2979272,1900252,19.0,26,0.0,77.0,2.0,0.3381652376800876
WI,Wisconsin,5882128,2425488,1641590,18.7,7,0.0,11.0,0.0,0.11900455073402
WV,West Virginia,1792967,716040,531027,20.4,1,1.0,0.0,0.0,0.0557734749161585
