Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Element Hotels - Ewing,1000 Sam Weinroth Rd,,Ewing,NJ,08628,,609-671-0050,T,2024-12-01,TEMPORARILY UNAVAILABLE (Public),24 hours daily; for guest use only,,,,,,2,,,Non-Networked,,GPS,40.286518,-74.807516,2024-10-11,36368,2025-02-12 00:16:32 UTC,P,,,2010-05-15,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,PALMER SQUARE CHAMBERS GARAGE,25 Chambers St,ChargePoint Card Holders ONLY,Princeton,NJ,08542,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.350118,-74.662732,2025-12-10,41849,2025-12-10 01:27:28 UTC,,,,2011-10-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Elizabeth Parking Authority - J Christian Bollwage Garage,37 Caldwell Pl,Located on lower level of garage,Elizabeth,NJ,07201,,908-353-0949,E,,Public - Credit card at all times,Restricted to garage hours; pay lot,M V,,,,,2,,,Non-Networked,,200-9,40.663848,-74.216585,2025-11-13,42907,2025-11-13 20:02:17 UTC,LG,,,2012-04-15,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Lynnes Nissan City,318 Bloomfield Ave,,Bloomfield,NJ,07003,,973-743-2111,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,GPS,40.784797,-74.193494,2024-02-12,45664,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Route 23 Nissan,1301 Route 23,,Butler,NJ,07405,,973-838-0800,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.991256,-74.347338,2024-02-12,45666,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Hilltop Nissan,258 Route 10,,East Hanover,NJ,07936,,973-887-5400,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.807195,-74.371329,2024-02-12,45670,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Fred Beans Nissan - Flemington,172 US Highway 202,,Flemington,NJ,08822,,908-333-4556,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,GPS,40.48774,-74.86328,2024-02-12,45672,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,DCH Freehold Nissan,4041 Route 9 N,,Freehold,NJ,07728,,732-780-3600,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.263381,-74.292408,2024-02-12,45674,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Mt. Holly Nissan,1513 Route 38,,Hainesport,NJ,08036,,609-267-2886,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.982438,-74.808764,2024-02-12,45676,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Route 33 Nissan,951 US Highway 33,,Hamilton Square,NJ,08690,,609-586-1900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.229274,-74.672155,2024-02-12,45678,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
